[2025-09-05 17:11:48.751] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "error_type": "Exception", "error_message": "Accessibility permission denied"}
[2025-09-05 17:13:12.259] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.12ms | Context: {"duration_ms": 0.11920928955078125, "failure_reasons_count": 5, "recommendations_count": 8, "closest_matches_count": 2}
[2025-09-05 17:13:12.259] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in ComplexApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "ComplexApp", "failure_reasons": ["Permission issue detected: Multiple issues: permission denied, element not found, timeout", "Element_Detection issue detected: Multiple issues: permission denied, element not found, timeout", "Performance issue detected: Multiple issues: permission denied, element not found, timeout", "All 3 search attempts failed", "Search operations are slow (avg: 3500.0ms)"], "recommendations": ["Grant accessibility permissions in System Preferences", "Verify element exists and is visible", "Try targeting 'Sign Up Link' which shares common words with your target", "Optimize search parameters or increase system resources", "Try different search strategies or verify element exists", "Target contains common words: sign. Try using these words individually.", "Increase timeout or optimize search parameters", "Consider using 'Sign Up Link' as an alternative (similarity: 83.0%)"], "failure_count": 5}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 0 | Context: {"command": "Click Button 0", "target": "Button 0", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.09ms | Context: {"duration_ms": 0.09298324584960938, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 0' targeting 'Button 0' in TestApp | Context: {"command": "Click Button 0", "target": "Button 0", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 1 | Context: {"command": "Click Button 1", "target": "Button 1", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.04291534423828125, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 1' targeting 'Button 1' in TestApp | Context: {"command": "Click Button 1", "target": "Button 1", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:12.263] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 2 | Context: {"command": "Click Button 2", "target": "Button 2", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.03600120544433594, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 2' targeting 'Button 2' in TestApp | Context: {"command": "Click Button 2", "target": "Button 2", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 3 | Context: {"command": "Click Button 3", "target": "Button 3", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.035762786865234375, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 3' targeting 'Button 3' in TestApp | Context: {"command": "Click Button 3", "target": "Button 3", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 4 | Context: {"command": "Click Button 4", "target": "Button 4", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.03814697265625, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 4' targeting 'Button 4' in TestApp | Context: {"command": "Click Button 4", "target": "Button 4", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In button | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "error_type": "ElementNotFoundError", "error_message": "Element not found"}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.11ms | Context: {"duration_ms": 0.11205673217773438, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 1}
[2025-09-05 17:13:12.264] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In button' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Element_Detection issue detected: Element not found", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Verify element exists and is visible"], "failure_count": 2}
[2025-09-05 17:13:12.266] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 0 | Context: {"command": "Click from thread 0", "target": "Target 0", "app_name": "App 0", "error_type": "ElementNotFoundError", "error_message": "Error from thread 0"}
[2025-09-05 17:13:12.266] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 1 | Context: {"command": "Click from thread 1", "target": "Target 1", "app_name": "App 1", "error_type": "ElementNotFoundError", "error_message": "Error from thread 1"}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 2 | Context: {"command": "Click from thread 2", "target": "Target 2", "app_name": "App 2", "error_type": "ElementNotFoundError", "error_message": "Error from thread 2"}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.29ms | Context: {"duration_ms": 0.2853870391845703, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.27ms | Context: {"duration_ms": 0.27298927307128906, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.21ms | Context: {"duration_ms": 0.20623207092285156, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click from thread 0' targeting 'Target 0' in App 0 | Context: {"command": "Click from thread 0", "target": "Target 0", "app_name": "App 0", "failure_reasons": ["All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists"], "failure_count": 1}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click from thread 1' targeting 'Target 1' in App 1 | Context: {"command": "Click from thread 1", "target": "Target 1", "app_name": "App 1", "failure_reasons": ["All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists"], "failure_count": 1}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click from thread 2' targeting 'Target 2' in App 2 | Context: {"command": "Click from thread 2", "target": "Target 2", "app_name": "App 2", "failure_reasons": ["All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists"], "failure_count": 1}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 3 | Context: {"command": "Click from thread 3", "target": "Target 3", "app_name": "App 3", "error_type": "ElementNotFoundError", "error_message": "Error from thread 3"}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 4 | Context: {"command": "Click from thread 4", "target": "Target 4", "app_name": "App 4", "error_type": "ElementNotFoundError", "error_message": "Error from thread 4"}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.15ms | Context: {"duration_ms": 0.1506805419921875, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.14ms | Context: {"duration_ms": 0.14328956604003906, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click from thread 3' targeting 'Target 3' in App 3 | Context: {"command": "Click from thread 3", "target": "Target 3", "app_name": "App 3", "failure_reasons": ["All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists"], "failure_count": 1}
[2025-09-05 17:13:12.267] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click from thread 4' targeting 'Target 4' in App 4 | Context: {"command": "Click from thread 4", "target": "Target 4", "app_name": "App 4", "failure_reasons": ["All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists"], "failure_count": 1}
[2025-09-05 17:13:12.268] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Test command | Context: {"command": "Test command", "target": "Test", "app_name": "TestApp", "error_type": "ElementNotFoundError", "error_message": "Test error"}
[2025-09-05 17:13:12.268] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.07ms | Context: {"duration_ms": 0.07176399230957031, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
[2025-09-05 17:13:37.114] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In button | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Accessibility permission denied for application"}
[2025-09-05 17:13:37.115] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.34ms | Context: {"duration_ms": 0.3390312194824219, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:37.115] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In button' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Accessibility permission denied for application", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:37.116] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "WebBrowser", "error_type": "ElementNotFoundError", "error_message": "Element 'Sign In' not found in accessibility tree"}
[2025-09-05 17:13:37.116] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.23ms | Context: {"duration_ms": 0.2319812774658203, "failure_reasons_count": 3, "recommendations_count": 5, "closest_matches_count": 0}
[2025-09-05 17:13:37.116] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in WebBrowser | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "WebBrowser", "failure_reasons": ["Permission issue detected: Element 'Sign In' not found in accessibility tree", "Element_Detection issue detected: Element 'Sign In' not found in accessibility tree", "All 3 search attempts failed"], "recommendations": ["Verify element exists and is visible", "Target contains common words: sign. Try using these words individually.", "Try targeting 'Sign Up' which shares common words with your target", "Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 3}
[2025-09-05 17:13:37.133] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "SlowApp", "error_type": "AccessibilityTimeoutError", "error_message": "Element search timed out after 5000ms"}
[2025-09-05 17:13:37.134] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 1.10ms | Context: {"duration_ms": 1.0960102081298828, "failure_reasons_count": 3, "recommendations_count": 3, "closest_matches_count": 0}
[2025-09-05 17:13:37.134] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in SlowApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "SlowApp", "failure_reasons": ["Performance issue detected: Element search timed out after 5000ms", "All 3 search attempts failed", "Search operations are slow (avg: 3500.0ms)"], "recommendations": ["Try different search strategies or verify element exists", "Increase timeout or optimize search parameters", "Optimize search parameters or increase system resources"], "failure_count": 3}
[2025-09-05 17:13:37.135] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "ComplexApp", "error_type": "Exception", "error_message": "Multiple issues: permission denied, element not found, timeout"}
[2025-09-05 17:13:37.135] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.09ms | Context: {"duration_ms": 0.08988380432128906, "failure_reasons_count": 5, "recommendations_count": 8, "closest_matches_count": 2}
[2025-09-05 17:13:37.135] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in ComplexApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "ComplexApp", "failure_reasons": ["Permission issue detected: Multiple issues: permission denied, element not found, timeout", "Element_Detection issue detected: Multiple issues: permission denied, element not found, timeout", "Performance issue detected: Multiple issues: permission denied, element not found, timeout", "All 3 search attempts failed", "Search operations are slow (avg: 3500.0ms)"], "recommendations": ["Verify element exists and is visible", "Target contains common words: sign. Try using these words individually.", "Consider using 'Sign Up Link' as an alternative (similarity: 83.0%)", "Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences", "Optimize search parameters or increase system resources", "Try targeting 'Sign Up Link' which shares common words with your target", "Increase timeout or optimize search parameters"], "failure_count": 5}
[2025-09-05 17:13:37.135] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "error_type": "ElementNotFoundError", "error_message": "Initial search failed"}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.08ms | Context: {"duration_ms": 0.08225440979003906, "failure_reasons_count": 1, "recommendations_count": 4, "closest_matches_count": 1}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Unclassified error: Initial search failed"], "recommendations": ["Try using 'Sign In' instead (similarity: 100.0%)", "Target contains common words: sign, in. Try using these words individually.", "Review error details and system logs for more information", "Try targeting 'Sign In' which shares common words with your target"], "failure_count": 1}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 0 | Context: {"command": "Click Button 0", "target": "Button 0", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.06ms | Context: {"duration_ms": 0.05888938903808594, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 0' targeting 'Button 0' in TestApp | Context: {"command": "Click Button 0", "target": "Button 0", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 1 | Context: {"command": "Click Button 1", "target": "Button 1", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.04100799560546875, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 1' targeting 'Button 1' in TestApp | Context: {"command": "Click Button 1", "target": "Button 1", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 2 | Context: {"command": "Click Button 2", "target": "Button 2", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.04100799560546875, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 2' targeting 'Button 2' in TestApp | Context: {"command": "Click Button 2", "target": "Button 2", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 3 | Context: {"command": "Click Button 3", "target": "Button 3", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.04ms | Context: {"duration_ms": 0.03600120544433594, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 3' targeting 'Button 3' in TestApp | Context: {"command": "Click Button 3", "target": "Button 3", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Button 4 | Context: {"command": "Click Button 4", "target": "Button 4", "app_name": "TestApp", "error_type": "AccessibilityPermissionError", "error_message": "Permission denied"}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.03ms | Context: {"duration_ms": 0.031948089599609375, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 0}
[2025-09-05 17:13:37.136] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Button 4' targeting 'Button 4' in TestApp | Context: {"command": "Click Button 4", "target": "Button 4", "app_name": "TestApp", "failure_reasons": ["Permission issue detected: Permission denied", "All 1 search attempts failed"], "recommendations": ["Try different search strategies or verify element exists", "Grant accessibility permissions in System Preferences"], "failure_count": 2}
[2025-09-05 17:13:37.137] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click Sign In button | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "error_type": "ElementNotFoundError", "error_message": "Element not found"}
[2025-09-05 17:13:37.137] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.06ms | Context: {"duration_ms": 0.0629425048828125, "failure_reasons_count": 2, "recommendations_count": 2, "closest_matches_count": 1}
[2025-09-05 17:13:37.137] | [WARNING] | [aura.debug.failure_analysis] | [failure_analysis] | Command failure analysis: 'Click Sign In button' targeting 'Sign In' in TestApp | Context: {"command": "Click Sign In button", "target": "Sign In", "app_name": "TestApp", "failure_reasons": ["Element_Detection issue detected: Element not found", "All 1 search attempts failed"], "recommendations": ["Verify element exists and is visible", "Try different search strategies or verify element exists"], "failure_count": 2}
[2025-09-05 17:13:37.138] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 0 | Context: {"command": "Click from thread 0", "target": "Target 0", "app_name": "App 0", "error_type": "ElementNotFoundError", "error_message": "Error from thread 0"}
[2025-09-05 17:13:37.138] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 1 | Context: {"command": "Click from thread 1", "target": "Target 1", "app_name": "App 1", "error_type": "ElementNotFoundError", "error_message": "Error from thread 1"}
[2025-09-05 17:13:37.138] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Starting failure analysis for command: Click from thread 2 | Context: {"command": "Click from thread 2", "target": "Target 2", "app_name": "App 2", "error_type": "ElementNotFoundError", "error_message": "Error from thread 2"}
[2025-09-05 17:13:37.138] | [WARNING] | [aura.debug.failure_analyzer] | [failure_analysis] | Failure analysis completed in 0.19ms | Context: {"duration_ms": 0.18978118896484375, "failure_reasons_count": 1, "recommendations_count": 1, "closest_matches_count": 0}
